Hot Sauce,Ingredients,SHU,Taste,Aroma,Looks,Heat,Label,Capsaicin?,Habanero?,Jalapeno?,Ghost?,Scorpion?,Carolina Reaper?,Cayenne?,Poblano?,Serrano?,Vinegar?,Water?,Oil?,Fruit?,Vegetable?,Sweetener?,Thickener?
Greene's Gourmet - South Western Smokey Red,"Choice Red Jalapeno Peppers, Garlic, Sea Salt, Organic Sugar, Vinegar, Water, Natural Smoke Flavor, And Guar Gum.",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
World Famous - LBI: Love Potion Extra Garlic,"Distilled Vinegar, Aged Red Habanero Peppers, Salt, Vegetable Blend (Dried Carrots, Dried Onions, Dried Garlic), Gum Blend (Xanthan Gum, Guar Gum)

",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Iguana - Gold Island Pepper Sauce,"Caynenne Peppers, Cane Sugar, Vinegar, Carrots, Salt, Onions, Cucumbers, Habanero Peppers, Modified Corn Starch, Mustard Seeds, Tumeric, Cumin, Other Spices, Garlic Powder, Ascorbic Acid (Vitamin C)",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Benito's Hot Sauce - Mango Habanero,"Yellow Bell Peppers, Lime Juice, Vinegar, Habanero Peppers, Mango Nectar, Extra Virgin Olive Oil, Onion",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0
CaJohns - La Segadora (Reaper),"Distilled Vinegar, Chile Peppers (Serrano, Reaper, Cayenne, Ghost, Ancho) Brown Sugar, Garlic, Salt, Onion, Cumin",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0
Louisiana Swamp Scum Hot Sauce,"Peppers, Vinegar, Salt, Molasses, Natural Flavorings, Carmel Color",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Benito's Hot Sauce - Joe’s #1 Jalapa,"Lime Juice, Jalapeno Peppers, Habanero Peppers, Cubanelle Peppers, White Onions, Garlic, Cilantro, Extra Virgin Olive Oil, White Vinegar",0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
Grim Reaper Foods - Mort Sauce,"Plum Tomatoes, Scorpion Chillies, Red Wine Vinegar, Shallots, Garlic, Sugar, Tomato Puree, Salt, Rapeseed Oil",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
Hot Licks Serrano Hot Sauce,"Serrano Peppers, Water, Onions, Garlic, Vinegar, Spices",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
Benito's Hot Sauce - Original Naranja,"Orange Bell Peppers, Lime Juice, Vinegar, Habanero Peppers, Ginger, Carrots, Extra Virgin Olive Oil, Garlic, Onions",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Mikey V’s - I Love Taco Sauce So Much: Mild,"Tomatoes, Water, Tomato Paste, White Vinegar, Onions, Fresh Garlic, Canola Oil, Mikey V's Taco Seasoning (chili Powder, Cumin, Dehydrated Onion, Paprika, Black Pepper, Spices, Oregano)",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Hot Licks Serrano Extra Hot,"Serrano Peppers, Water, Onions, Garlic, Vinegar, Spices
",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
Benito's Hot Sauce - Old Coy Dog,"Organic Bhut Jolokia (Ghost Peppers), Lime Juice, Fresh Onions, Fresh Garlic, Fresh Carrots, Red Bell Peppers, Organic White Vinegar",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
NouBess - Original Hot and Spicy Herbs Sauce,"Chilli Peppers, Canola Oil, Onion, Cider Vinegar, Parsley, Garlic, Sea Salt, Curry, Paprika, Lemon Juice Concentrate",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Hot Licks Spicy Green Hot Sauce,"Jalapeno Peppers, Water, Onion, Garlic, Vinegar",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
Butterfly Bakery - Maple Sugar Shack Sriracha,"Vermont Grown Jalapeno Peppers, White Vinegar, Vermont Grown Garlic Scapes, Pure Vermont Maple Syrup. Salt",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
NouBess - Hot and Spicy Mango Sauce,"Mango, Chili Peppers, Scallion, Canola Oil, Cider Vinegar, Parsley, Garlic, Spices, Sea Salt",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
Hot Licks Suicide,"Water, Vinegar, Habanero, Jalapeno Peppers, Garlic, Salt, Pepper Extract, And Spices.",0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Papa Lynn's - Jala-Haba Hot Sauce,"Tomato Paste, Tomato Sauce, Water, Vinegar, Sugar, Salt, JALAPEÑOs, Habeneras, Garlic Powder, Onion Salt,",0,4.8,5.0,5.0,0.1,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Captain Tom’s Datil Pepper Sauce - Happy Creek (Sweet),"Ketchup (Tomato Concentrate, Distilled Vinegar, High Fructose Corn Syrup, Corn Syrup, Salt, Spice, Onion Powder, Natural Flavoring) Apple Juice, Onions, Honey, Apple Cider Vinegar, Lemon Juice, Green Bell Peppers, Dark Brown Sugar, Datil Peppers, Garlic, Capsicum Extract (soybean Oil)",0,5.0,5.0,4.0,5.0,5.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
Hot Licks XXX,"Water, Vinegar, Jalapeno Peppers, Onion, Garlic, Salt, Pepper Extract, Spices, Salt.
",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
Pepper Palace - Time's Up: Reaper Hot Sauce,"Distilled Vinegar, Water, Tomato Paste, Garlic Powder, Reaper Pepper Powder, Lemon Juice (Lemon Juice Concentrate, Water, Sodium Bisulfite, Sodium Benzoate), Onion Powder, Salt, Sugar, Xanthan Gum",0,5.0,4.5,4.0,4.8,4.4,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1
Gindo's Spice Of Life - Original,"Sweet Red Pepper, Distilled Vinegar, Water, Habanero Pepper, Alasea Salt Flakes, Pink Himalaya Sea Salt Flakes, Black Lava Salt Flakes, Organic Cane Sugar, Ground Peppercorns, Xanthan Gum ",0,5.0,5.0,5.0,4.5,5.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1
St. Pete Heat - Pineapple Habanero Sauce,"Pineapple, Distilled White Vinegar, Onions, Habanero Peppers, Natural Ginger, Orange Juice, Pineapple Juice, Garlic, Line Juice, Honey, Citric Acid, Salt, Spices, Xantham Gum",0,4.0,3.3,2.0,3.0,3.5,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1
Scoville Brothers - Heavy Metal XL Heat,"Vinegar, Water, Bhut Jolokia Pepper, Red Habanero, Salt, Xanthan Gum, Capsaicin Extract",0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
The Pepper Plant - Chunky Garlic Hot Pepper Sauce,"Jalapeño Purée, Water, Garlic, Chili Pepper, Spice",0,4.3,4.1,4.0,1.1,3.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Scoville Brothers - Rockin' Red,"Vinegar, Water, Dried Red Cayenne, Dried Red Habanero, Dried Red Jalapeño, Pepper, Salt, Xanthan Gum",0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
Mad Dog - Ultra Hot BBQ Sauce,"Hickory, Sweet Unsulphered Molasses, Premium California Tomato Paste, Aged Japanese Tamari Soy Sauce, 'Ghost' Pepper Aka Bhut Jolokia, Peri Peri Pepper",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Scotty's Gourmet - Triple Threat,"Tomatoes, Moruga Scorpion Peppers, Carolina Reaper Peppers, Ghost Peppers, Water, Yellow Onion, Distilled Vinegar, Lemon Juice, Minced Garlic, Sea Salt, Ground Black Pepper, Corn Starch, Spices",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0
Bobby's Island Spice - Ruff and Irie,"Curry, Scotch Bonnet Peppers, Papaya, Other Natural Spices",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mad Dog - Envy: Spicy Hot Jalapeno Sauce,"Jalapeño Peppers, Lime Juice, Chopped Garlic, Onions, Cilantro, Red Wine Vinegar, Salt, Jalapeño Pepper Extract, Xanthan Gum",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
Scoville Brothers - Rock Star Hot Sauce,Water Vinegar Cayenne Pepper Salt Habanero Pepper Agave Syrup Tomato Xanthan Gum Carrot Spices Garlic Sodium Benzoate,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1
Bobby's Island Spice - Rhatid It's Irie,"Ginger, Lime, Habanero Peppers, Other Natural Spices",0,4.2,4.8,4.3,4.8,4.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boomslang Ghost Pepper Hot Sauce,"Vingar, Tomatoes, Bhut Jalokia, Garlic, Jalapeno Peppers, Herb, Spices, Pepper Extract, Salt, Bird's Eye Peppers",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
CaJohns - Liquid Stoopid,Water Vinegar Jalapeño Peppers Onion Garlic Salt Pepper Extract Spices,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
Matouk's Calypso Sauce,"Aged Pickled Scotch Bonnet Peppers (pepper, Vinegar, Salt), Water, Vinegar, Prepared Mustard (vinegar, Mustard, Salt, Spices), Cane Sugar, Salt, Modified Corn Starch, Onion Powder, Garlic Powder, Celery Seed, Potassium Sorbate (preservative), Soybean Oil, Xanthan Gum, FD&amp;C Yellow #5",0,3.8,3.5,2.5,3.5,2.5,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
The Flaming Ferret - Scorpion Ghost Pepper,"Water, Cider Vinegar, Carrots, Cucumber, Onion, Scorpion Pepper, Ghost Pepper, Salt, Vinegar, Corn Syrup, Spices, Tamarind, Lime Juice, Garlic",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0
Zulu Fire Sauce,"Spirit Vinegar, Water, Chilli, Sweet Potato, Carrot, Cane Sugar, Sunflower Oil, Onion, Cayenne Pepper, Citric Acid, Salt, Garlic, Stabilizer (xantham Gum)",0,2.0,3.0,3.0,1.0,5.0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
Chilli Factory - Morning Afterburn," Mango (43%), Water, Sugar, Chilli (9%), Salt, Garlic, Xanthan Gum (415), Herbs &amp; Spices.",0,2.8,3.2,3.2,4.0,2.6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
Lucky Dog - Green - Fire-Roasted Hot Pepper Sauce,"Distilled Vinegar, Onions, Roasted Chile Peppers, Jalapenos, Serrano Peppers, Roasted Garlic, Water, Carrots, Sugar, Sea Salt, Lime Juice From Concentrate, Cayenne Pepper",0,4.4,3.0,3.8,2.2,3.0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0
Lucky Dog - Orange - Fire-Roasted Hot Pepper Sauce,"Apple Cider Vinegar, Onions, Roasted Chile Peppers, Habanero, Jalapeno, Serrano, Roasted Garlic, Carrots, Water, Sugar, Cayenne Pepper, Lime Juice From Concentrate",0,4.5,3.0,4.0,3.9,3.0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0
oo'mämē - Mexican Chile Crisp,"High Oleic Sunflower Oil, Pepitas, Dried Mango, Fermented Black Beans, Agave Nectar, Ancho, Guajillo, Chipotle And Pasilla Peppers,  Cider Vinegar, Dried Onion, Crushed Red Pepper, Orange Peel",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
Lucky Dog - Red - Fire-Roasted Hot Pepper Sauce,"Apple Cider Vinegar, Onions, Roasted Chile Peppers, Habaneros, Jalapenos, Serrano Peppers, Carrots, Roasted Garlic, Water, Sea Salt, Sugar, Cayenne Pepper, Lime Juice From Concentrate",0,4.0,3.0,4.0,3.3,3.0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0
Steers - Hot Peri Peri Sauce,"Water, Sugar, Tomato Paste, Onion, Stabalizer (modified Starch, Xanthan Gum), Salt, Acidifyer, Reconstituted Worchester Sauce (caramel Colour, Sulpher Dioxide), Spices (pepper, Chili) (wheat Gluten) (irradiated), MSG (flavour Enhanser), Preservatives: Sodium Benzoate, Potassium Sorbate",0,4.0,3.4,3.0,2.0,2.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
oo'mämē - Chinese Chile Crisp,"High Oleic Sunflower Oil, Fermented Black Beans, Crushed Red Pepper, Crystallized Ginger, Peanuts, Sesame Oil, Dried Garlic, Sesame Seeds, Shallots, Szechuan Peppercorns",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pun Chun - Yum Cha,"Chilli, Vinegar, Corn Starch, Garlic, Sugar, Salt, Chilli Powder, Water, Food Additives",0,3.5,3.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Men Pa'w - Bold &amp; Spicy Mustard,"Mustard ( Distilled Vinegar, #1 Mustard Seeds, Turmeric, Salt, And Spices) Apple Cider Vinegar, Olive Oil Blend. Onions, Water, Chocolate Habanero Peppers, Fatalli Peppers, Soul Spice, Curry, Onions, Garlic, Cayenne Peppers, Red Scotch Bonnet Peppers, Granulated Garlic.",0,4.6,4.7,5.0,2.6,4.0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0
Cottage Lane Kitchen - Get Me A Switch Spicy Pepper Relish,"Chile Peppers, Bell Peppers, Onion, Sugar, Water, Apple Cider Vinegar, Spices, Garlic",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
ABC - Sambal Ayam Goreng,"Chilli, Sugar, Water, Salt, Garlic, Tomato Paste, Vinegar, MSG, Food Additives",0,4.0,3.0,2.5,2.0,3.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Men Pa'w - Hot Ketchup,"Ketchup (water, Sugar) Tomato Paste. Distilled Vinegar, Olive Oil Blend, Spices, Xanthan Gum, Apple Cider Vinegar, Onions, Chocolate Habanero, Red Scotch Bonnets,  Fatalli Peppers, Soul Spice, Tropical Seasoning, Parsley, Orange Habanero Peppers, Onion Powder, Garlic.",0,5.0,4.0,5.0,2.0,4.5,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1
Cottage Lane Kitchen - Cape Fear Spicy Pepper Relish,"Chile Peppers, Sweet Bell Peppers, Sweet Onions, Sugar, Apple Cider Vinegar, Pineapple, Water, Orange Oil",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
ABC - Sambal Manis Pedas (Hot &amp; Sweet),"Sugar, Water, Chilli, Salt, Tomato, Onion, Vinegar, Flour, Food Additives",0,4.0,2.0,2.5,1.0,3.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Grace - Caribbean Style Hot Pepper Sauce,"Pepper, Water, Onion, Sugar, Wheat Flour, Mustard Flour, Salt, Vinegar, Turmeric Powder, Spices, Sodium Benzoate",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Ayam Chilli Sauce,"Chillies, Sugar, Tomato Paste, Vinegar, Salt, Thickener, Spices, Food Acid, Vegetable Gum, Caramel, Food Additives",0,4.5,4.0,2.5,1.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
Secret Aardvark Habanero Hot Sauce,"Tomatoes(Tomatoes And Fire Roasted Tomatoes, Tomato Juice, Citric Acid, Calcium Chloride), White Wine Vinegar, Carrots, Water,  Yellow Onion, Habanero Chili Pepper(Habanero Chili Peppers, Water, Salt, Citric Acid), Mustard(Distilled Vinegar, Water, Mustard Seed, Salt, Turmeric, Spices), Organic Cane Sugar, Salt, Modified Food Starch, Garlic, Sunflower Oil, Herbs And Spices",0,3.7,4.4,5.0,4.2,4.6,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0
D.L. Jardine's - Texas Champagne Cayenne Pepper Sauce,"Red Peppers, Vinegar, Salt",0,4.5,4.5,4.0,1.0,3.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lingham's Chilli Sauce,"Water, Chilli, Sugar, Vinegar, Salt",0,3.6,3.6,2.9,2.6,2.8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1770 Mercantile - Habanero Hot Honey,"Wildflower Honey, Organic Habanero Peppers",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tia Lupita - Chipotle Hot Sauce,"Chipotle Peppers, Water, Distilled Vinegar, Blue Agave Nectar, Salt, Garlic, Oregano, Black Pepper, Cumin",0,4.5,5.0,4.0,1.0,2.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Dua Belibis - Saus Cabe,"Chilli, Vinegar, Sugar, Garlic, MSG, Food Additives",0,4.9,4.8,4.9,4.9,4.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Burnin' Benzes - Adios Gringo!,"Tomatoes, Raspberry Vinegar, Maple Sirup, Ginger, Coriander",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Molho Chacon - Pimenta Mexicana,"Special Peppers, Vinegar",0,2.8,3.4,2.6,4.2,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sambel Asli - Cap Ibu Jari Jempol (Chili Sauce),"Pure Chilli, Sugar, Salt, Garlic, Vinegar, Food Additives",0,4.5,3.0,4.8,3.8,2.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Sweet &amp; Spicy - Hot Alaskan Umami Sauce,"Pure Brown Sugar, Cayenne Pepper Sauce (cayenne Peppers, Water, Vinegar, Salt, And Garlic Powder), Water, Vinegar, Cayenne, Minced Garlic, Pure Sesame Oil, Unsulphered Molasses, Granulated Garlic,  Granulated Onion, Pepper And Sea Salt",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0
Luau Blast Volcanic Hot Sauce - Island Tropical Sting,"Hawaiian Tiki Pepper Extract, Fermented Habanero Mash, Mango, USDA Organic Ginger, Onion, Hawaiian Sea Salt, Vinegar, Citric Acid (Citrus) ",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Triiifecto - Ra Pepper Sauce,"Habanero Pepper, Red Savina Pepper, Bhut Jolokia Pepper, Horseradish, Bok Choy, Water, Acetic Acid, Lime Juice, Garlic, Spices, Vitamin A, Vitamin B6, Vitamin B12, Vitamin C, Xanthan Gum",0,4.9,4.0,4.9,4.0,4.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
April Schenk - SASS Sauce,"Mayonaise, Ketchup, Tomatillo, Chipotle, Cider Vinegar, Paprika, Garlic, Spices",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tahiti Joe's - Maui Pepper Co Mango Meltdown (Medium),"Vinegar, Mangoes, Sugar, Apple Juice, Honey, Habanero, Sea Salt, Natural Spices, Tic Gum",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Blackie's Best Gourmet Pepper Sauce,"Red Chile Peppers, Distilled Vinegar, Salt, Garlic, Xanthan Gum ",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Barbadiana Bliss - Original Pepper Sauce,"Water, Distilled Vinegar, Red Scotch Bonnet Peppers, Onions, Mustard ( Distilled Vinegar, No.1 Mustard Seed, Salt, Turmeric, Spices) Turmeric.  ",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Sweet Daddy - XYZ Pique,"Vinegar, Chilies, Vegetables, Spices, Water",0,4.7,4.8,4.5,3.8,4.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Savory Accents - Blended Chilis Hot Sauce,"Blended Chilies, Vinegar",0,4.8,4.3,4.5,4.1,3.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
D.L. Jardine's - Blazin' Saddle Habanero Pepper Sauce,"Habanero Peppers, Carrots, Onions, Lime Juice, Vinegar, Garlic, Salt",0,1.0,1.0,1.0,3.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Lost Capital Foods - Another Bad Investment,"Manzano Chile, Water, Red Jalapeno, Vinegar, Habanero, Onion, Arbol, Kosher Salt, Honey, Guajillo, Ancho, Ghost Chile, Garlic",0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0
Pain is Good - Batch 114 Jamaican Style Hot Sauce,"Habaneros, Pineapple Juice Concentrate, White Vinegar, Tomato Paste, Water, Salt, Jerk Spice, Lemon And Lime Juice Concentrate",0,4.5,4.0,4.0,3.5,4.0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Chilli Addict - Bird's Eye Chilli Sauce,"Red Peppers, Water, Vinegar, Onions, Red Thai Chilli, Sugar, Garlic, Vegetable Oil, Salt, Birds Eye Chilli, Xanthan Gum",0,3.9,3.1,3.3,3.6,2.6,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
Lost Capital Foods - Bailout,"Water, Manzano Chile, Vinegar, Red Jalapeno, Mango, Onion, Habanero, Garlic, Guajillo, Ancho, Kosher Salt, Honey",0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0
CaJohns - Frostbite Hot Sauce,"Vinegar, Water, Salt, Aquaresin Of Capsicum",0,5.0,2.5,5.0,4.0,4.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Lost Capital Foods - Death Tax,"Vinegar, Trinidad Scorpion, Blood Orange Juice, Onion, Guajillo, Lemon Juice, Garlic, Kosher Salt",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"Truffled Hog - ""Original"" BBQ Butter","Apples, Brown Sugar, Garlic, Smoked Sea Salt, Garlic, Spices Jalapeno Pepper",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Lost Capital Foods - Gold Digger,"Mango, Vinegar, Ginger, Honey, Habanero, Garlic, Salt",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Truffled Hog - Roasted Jalapeno Hot Sauce,"Jalapeno Pepper, Garlic, Shallot, Smoked Garlic, Spices, Xanthum Gum",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
De la Llama - Sriracha de la Llama,"Jalapeño, Criollo Hot Pepper, Garlic, Salt, Sugar, Vinegar, Water",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
Lost Capital Foods - Legal Tender,"Omatillo, Poblano, Serrano, Jalapeno, Green Onion, Vinegar, Water, Cilantro, Scorpion Chile, Ginger, Garlic, Xanthan Gum, Kosher Salt",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1
Goldson's - MoreFire! Hot Sauce (Original),"Tomatoes, Water, Escallions, Vinegar, Corn Syrup, Pepper (scotch Bonnet), Cane Sugar, Salt, Honey, Spices, Onion Powder, Pimento, Garlic, Chili Powder, Black Pepper, Natural Flavoring",0,5.0,4.5,5.0,3.5,4.5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Mola Foods - Chili Relish Iloba (Red),"Lemon Juice. Red Pepper, Shallot, Onions, Salt, Sunflower Oil",0,4.9,4.9,4.9,3.5,4.2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Lost Capital Foods - Overdraft,"Tomatillo, Jalapeno, Vinegar, Poblano, Water, Serrano, Green Onion, Cilantro, Ginger, Garlic, Kosher Salt, Xanthan Gum",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
Maçarico Piri Piri Hot Sauce,"Capsicums, Water, Salt, Vegetable Oil, Spices, Acidity Regulator E-330, Preservative E.211, Thickener E-415",0,3.8,3.6,4.5,1.5,3.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
The Original Australian - Hot and Spicy BBQ Sauce,"Tomato Puree (water, Tomato Paste), Cane Sugar, Malt Powder, Honey, Distilled Vinegar, Apple Juice Concentrate, Salt, Natural Hickory Smoke Flavour, Molasses, Tamarind, Spices, Caramel Colour, Dried Garlic, Dried Onion, Black Pepper, Dried Chilli Pepper, Xantham Gum, Citric Acid",0,3.8,3.5,2.2,0.4,2.8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
Lost Capital Foods - Pyramid Scheme,"Lime Juice, Water, Red Jalapeno, Vinegar, Chipotle, Garlic, Ghost Chile, Arbol, Kosher Salt",0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
Calvé Piri Piri Portuguese Traditional Recipe,"Vegetable Oil, Extracts Of Piri-piri (2.1%) Garlic, Flavors, Acidity Regulators (acetic Acid), Antioxidants (natural Extracts Rich In Tocopherols)",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Born to Hula - Cayenne,"Distilled White Vinegar, Red Bell Pepper, Cayenne Pepper, Garlic, Salt, Onion Powder, Lime Juice, Xanthan Gum",0,4.5,4.5,4.5,4.0,4.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
Bazodee - Soca Sauce,"Papaya, Onions, Water, Apple Cider Vinegar, Yellow Mustard, Sunflower Oil, Bell Peppers, Cauliflower, Cilantro, Sugar, Habaneros, Garlic, Salt, Parsley, Jalapeños, Spices, Natural Orange Flavor",0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
Badia - Sriracha Hot,"Garlic, Vinegar, Chili, Salt, Water",0,4.1,3.9,4.0,4.1,2.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
