Hot Sauce,Ingredients,SHU,Taste,Aroma,Looks,Heat,Label,Capsaicin?,Habanero?,Jalapeno?,Ghost?,Scorpion?,Carolina Reaper?,Cayenne?,Poblano?,Serrano?,Vinegar?,Water?,Oil?,Fruit?,Vegetable?,Sweetener?,Thickener?
Surfguys - Ghost Pepper Hot Sauce,"Red Habaneros, Ghost Pepper, Vinegar, Salt, Garlic, Spices, And Xanthan Gum",0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Angry Goat Pepper Co. - Dreams of Calypso Hot Sauce,"Pineapple, Mango, Yellow Scotch Bonnets, Lime Juice, Distilled Vinegar, Prepared Yellow Mustard (distilled Vinegar, #1 Mustard Seeds, Salt, Turmeric, And Spices), Carrots, Yellow Bell Peppers, Cane Sugar, Sea Salt, Granulated Garlic, Allspice",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Droolin' Devil El Diablo,N/A,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Primo’s Peppers - Primonition,"Tomatillos, Onions, Water, Smoked Jalapeno Peppers, Vinegar, Garlic, Cilantro, 7 Pot Primo Peppers, Lime Juice, Salt, New Mexico Green Chile Peppers, Honey, Sugar, Spice",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
Droolin' Devil Garlic Chilli,N/A,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klowns On Fire! - Extreme Peach Reaper,"Peach, Key Lime, Lemons, Brown Sugar, Cloves, Garlic, Red Onions, 13 Other Secret Ingredients",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Droolin' Devil Liquid Sin Hot Sauce,N/A,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surfguys - Caribbean Hot Sauce,"Fresh Papaya, Pineapple, Mandarin Orange, Salt, Vinegar, Spices",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Lucky Dog - White Label: Cherry Chipotle,"Water, Apple Cider Vinegar, Onion, Meco Chipotle Pepper, Cherry Concentrate, Agave Syrup, Lime Juice, Sea Salt, Granulated Garlic, Powdered Onion, Spices",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
Waha Wera Kiwifruit &amp; Habanero Sauce,"Kiwifruit (55%), Sugar, Water, Habanero Chiles (14%, Certified Organic), Manuka Honey, Salt, Food Acids (260, 270, 331), Spices",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Scorned Woman - Original Hot Sauce,"Vinegar, Water, Dehydrated Peppers ( Aged Tabasco, Red, Black, Habanero, Jalapeno), Lemon Juice Concentrate, Salt, Black Pepper, Natural Flavors, Xanthan Gum, Potassium Sorbate And Sodium Benzoate (preservatives)",0,4.1,3.3,4.0,3.5,3.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
Smokin' Texas Gourmet - Angry Twist Pepper Sauce,"Water, Vinegar, Sugar, Salt, Cayenne, Habanero, Garlic, Onion, Bhut Jolokia (ghost), Chipotle, Spices, Xantham Gum",0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1
Ass Blaster Hot Sauce,"Water, Habanero Pepper, Vinegar, Capsicum Extract, Xanthum Gum, Carrots, Salt, Garlic And Spices. Note: Produced In A Plant That Uses Peanuts, Tree Nuts, And Soy Products",0,4.2,4.0,4.6,4.0,5.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
JLD Hot Sauce &amp; Knives - Bhut Jolokia Extra Hot,-,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocean Deck Rasta Sauce,"Peppers, Vinegar, Salt, Garlic, Onion, Black Pepper, Cayenne Pepper, Celery Salt, Mustard, Bay Leaves, Allspice, Ginger, Mace, Cardamom, Paprika, Spices",0,4.7,4.7,4.3,3.1,4.1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Pepplish Provisions - Mango Garlic Hickory,"Aged Peppers (habanero, Ghost, Carolina Reaper), Cider Vinegar, Mango, Water, Garlic, Agave Syrup*, Liquid Hickory (hickory Smoke Concentrate, Water), Salt, Arrowroot, Spices",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
Georgia Peach &amp; Vidalia Onion Hot Sauce,"Water, Cane Sugar, Red Chili Puree, Vinegar, Peaches, Jalapeno Peppers, Salt, Minced Onion, Tomatoes, Vindalia Onions (1.34% By Weight), Cayenne Pepper, Xanthum Gum, Erythorbic Acid (as An Antioxidant), Capsium Oil, Polysorbate 80",0,4.0,4.5,4.5,1.8,3.7,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1
Unique Destiny: Roasted Garlic ,"Fire Roasted Salsa (Tomato, Jalapeno, Onions, Garlic, Salt, Citric Acid),  Apple Cider, Apple Cider Vinegar, Roasted Garlic, Apple Puree,  CT Grown Habanero Peppers, Balsamic Vinegar, Sea Salt ",0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Karma Sauce - Funken Hot: Yellow Moruga Edition,"Yellow Moruga Scorpion Pepper, Fatalii Pepper, Apple Cider Vinegar, Organic Sugar, Fresh Lime Juice, Salt, Garlic, Spices",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
The Brutal Bajan,"Vinegar, Habanero Pepper, Mustard, Onion, Garlic, Salt, Turmeric, Paprika, Sorbic Acid",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Unique Destiny: Maple Roasted Apple,"Roasted Apples, Apple Cider Vinegar, Peach Puree, Apple Cider, Maple Syrup, Chipotle Peppers, Sea Salt",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
 CaJohns - Bourbon Infused Chipotle Habanero,"Brown Sugar, Apple Cider Vinegar, Red Habanero Chiles, Tomato Paste, Jim Beam Black Label Bourbon, Chipotle Chiles, Corn Starch, Salt, Spices, Natural Applewood Smoke Flavoring (5 Oz)

",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Tropical Pepper Co. - Curry Delight Hot Sauce,"Aged Habanero Peppers, Vinegar, Garlic, Onion, Curry, Mustard, Salt",0,5.0,5.0,4.5,4.0,3.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CaJohns - Black Garlic Hot Sauce,"Fresno Pepper, Apple Cider Vinegar, Sweet Soy Sauce (sugar, Soy Extract (water, Salt, Soybeans, Wheat), Water, Salt, Caramel Color, Sodium Benzoate, Citric Acid, Xanthan Gum), Brown Sugar (sugar, Molasses), Black Garlic Power, Garlic Powder, Cayenne Powder, Salt",0,3.5,4.1,2.0,2.0,3.3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1
Taylor's Ultimate - Tuscan Style Hot Sauce,"Habanero Pepper, Tomato, Rosemary ",0,4.8,4.7,4.6,4.0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pepper North Artisan Foods - Solar Flare Hot Sauce,"Pineapple, Red Bell Peppers, Onions, Pineapple Juice, Apple Cider Vinegar, Oranges, Lime Juice, Orange Habanero Peppers, Sea Salt, Ginger, Garlic, Chipotle Peppers",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Taylor's Ultimate - Mild Habanero Hot Sauce,Habanero,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemini Crow Hot Sauce - Jack The Reaper,"Pineapple, Mango, Carolina Reaper Peppers, Cider Vinegar, Sugar, Water, Sea Salt",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
Flying Goose Sriracha Hot Chilli Sauce,"Chilli (70%), Sugar, Water, Garlic, Flavour Enhancer (E621), Acidity Regulator (E330), Stabiliser (E415), Preservative (E202)",0,3.7,4.9,4.3,3.1,2.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Taylor's Ultimate - Andes Fire Hot Sauce,"Habanero, Aji Pepepr",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angry Goat Pepper Co. - Hippy Dippy Green Hot Sauce,"Fire Roasted Jalapeno Peppers, Fire Roasted Serrano Peppers, Water, Lime Juice, Fire Roasted Tomatillos, Kiwi Fruit, Agave Nectar, Avocado, Tequila, Olive Oil, Granulated Garlic, Sea Salt, Onion Powder, Cumin, Black Pepper, Fresh Cilantro",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0
Pirates Blend Caribbean Condiment,"Water, Cane Sugar, Vinegar, Carrots, Salt, Onion, Cucumber, Corn Starch, Mustard, Cumin, Ginger And Other Spices, Cayenne Peppers, Caramel Color With Vitamin C",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0
Taylor's Ultimate - Mild Jalapeno Hot Sauce,Jalapeno,0,4.9,4.3,4.8,4.3,4.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikey V’s - I Love Taco Sauce So Much: Hot,"Tomatoes, Water, Tomato Paste, White Vinegar, Onions, Fresh Garlic, Kosher Salt, Canola Oil, Mikey V's Taco Seasoning (chili Powder, Cumin, Dehydrated Onions, Paprika, Carolina Reaper Pepper Powder, Black Pepper, Cayenne Pepper, Spices, Oregano)",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0
